CASE_ID,ACCIDENT_YEAR,PROC_DATE,JURIS,COLLISION_DATE,COLLISION_TIME,OFFICER_ID,REPORTING_DISTRICT,DAY_OF_WEEK,CHP_SHIFT,POPULATION,CNTY_CITY_LOC,SPECIAL_COND,BEAT_TYPE,CHP_BEAT_TYPE,CITY_DIVISION_LAPD,CHP_BEAT_CLASS,BEAT_NUMBER,PRIMARY_RD,SECONDARY_RD,DISTANCE,DIRECTION,INTERSECTION,WEATHER_1,WEATHER_2,STATE_HWY_IND,CALTRANS_COUNTY,CALTRANS_DISTRICT,STATE_ROUTE,ROUTE_SUFFIX,POSTMILE_PREFIX,POSTMILE,LOCATION_TYPE,RAMP_INTERSECTION,SIDE_OF_HWY,TOW_AWAY,COLLISION_SEVERITY,NUMBER_KILLED,NUMBER_INJURED,PARTY_COUNT,PRIMARY_COLL_FACTOR,PCF_CODE_OF_VIOL,PCF_VIOL_CATEGORY,PCF_VIOLATION,PCF_VIOL_SUBSECTION,HIT_AND_RUN,TYPE_OF_COLLISION,MVIW,PED_ACTION,ROAD_SURFACE,ROAD_COND_1,ROAD_COND_2,LIGHTING,CONTROL_DEVICE,CHP_ROAD_TYPE,PEDESTRIAN_ACCIDENT,BICYCLE_ACCIDENT,MOTORCYCLE_ACCIDENT,TRUCK_ACCIDENT,NOT_PRIVATE_PROPERTY,ALCOHOL_INVOLVED,STWD_VEHTYPE_AT_FAULT,CHP_VEHTYPE_AT_FAULT,COUNT_SEVERE_INJ,COUNT_VISIBLE_INJ,COUNT_COMPLAINT_PAIN,COUNT_PED_KILLED,COUNT_PED_INJURED,COUNT_BICYCLIST_KILLED,COUNT_BICYCLIST_INJURED,COUNT_MC_KILLED,COUNT_MC_INJURED,PRIMARY_RAMP,SECONDARY_RAMP,LATITUDE_2,LONGITUDE_2,COUNTY,CITY,LONGITUDE,LATITUDE
4586880,2010,2010-11-09,4311,2010-01-14,444,K3195,,4,5,5,4311,0,0,0,,0,4,MOFFETT BL,CENTRAL EXPWY,0.00,,Y,A,-,N,,,,,,,,,,N,3,0,1,2,A,-,10,21950,A,N,G,B,B,A,H,-,C,A,0,Y,,,,Y,,A,1,0,1,0,0,1,0,0,0,0,- ,- ,,,SANTA CLARA,MOUNTAIN VIEW,-122.07784307,37.395494980000000
4599372,2010,2010-12-07,4311,2010-02-09,839,K5004,,2,5,5,4311,0,0,0,,0,2,EL MONTE AV,MARICH WY,0.00,,Y,C,-,N,,,,,,,,,,N,4,0,1,2,D,-,0,,,M,G,B,B,B,H,-,A,D,0,Y,,,,Y,,-,- ,0,0,1,0,0,0,0,0,0,- ,- ,,,SANTA CLARA,MOUNTAIN VIEW,-122.09585307,37.390694980000000
4602038,2010,2010-10-25,4311,2010-01-29,1712,C3431,,5,5,5,4311,0,0,0,,0,1,GARCIA AV,SALADO DR,50.00,W,N,B,C,N,,,,,,,,,,Y,2,0,1,2,A,-,10,21950,A,N,G,B,B,B,H,-,B,D,0,Y,,,,Y,,A,1,1,0,0,0,1,0,0,0,0,- ,- ,,,SANTA CLARA,MOUNTAIN VIEW,-122.09336568000000,37.425382630000000
4602077,2010,2010-10-25,4311,2010-01-08,708,G3657,,5,5,5,4311,0,0,0,,0,3,LEGHORN ST,RENGSTORFF AV,26.00,W,N,A,-,N,,,,,,,,,,N,3,0,1,2,A,-,10,21950,A,N,G,B,B,A,H,-,A,A,0,Y,,,,Y,,A,8,0,1,0,0,1,0,0,0,0,- ,- ,,,SANTA CLARA,MOUNTAIN VIEW,-122.09336258,37.418916090000000
4634466,2010,2011-01-18,4311,2010-03-02,1508,C3431,,2,5,5,4311,0,0,0,,0,1,ESCUELA AV,GAMEL WY,43.00,N,N,A,-,N,,,,,,,,,,N,3,0,1,2,A,-,11,21954,A,N,G,B,D,A,H,-,A,D,0,Y,,,,Y,,N,60,0,1,0,0,1,0,0,0,0,- ,- ,,,SANTA CLARA,MOUNTAIN VIEW,-122.09506973000000,37.39525175
4679348,2010,2011-03-24,4311,2010-04-27,2105,T8697,,2,5,5,4311,0,0,0,,0,4,CENTRAL EXPWY,MOFFETT BL,16.00,E,N,A,-,N,,,,,,,,,,N,4,0,1,2,D,-,0,,,N,G,B,B,A,H,-,B,A,0,Y,,,,Y,,-,- ,0,0,1,0,1,0,0,0,0,- ,- ,,,SANTA CLARA,MOUNTAIN VIEW,-122.07779411,37.395474820000000
4691505,2010,2011-02-28,4311,2010-03-01,1719,D0516,,1,5,5,4311,0,0,0,,0,1,CALIFORNIA ST,MARIPOSA,0.00,,Y,B,-,N,,,,,,,,,,N,4,0,1,2,A,-,10,21950,A,N,G,B,B,A,H,-,A,A,0,Y,,,,Y,,A,1,0,0,1,0,1,0,0,0,0,- ,- ,,,SANTA CLARA,MOUNTAIN VIEW,-122.08950307000000,37.394854980000000
4698747,2010,2011-06-15,4311,2010-05-24,2045,R5713,,1,5,5,4311,0,0,0,,0,1,EL CAMINO REAL,CASTRO ST,290.00,E,N,B,-,Y,SCL,4,82,-,-,19.820,H,-,S,N,2,0,1,2,A,-,11,21954,A,N,G,B,D,A,H,-,C,D,0,Y,,,,Y,Y,N,60,1,0,0,0,1,0,0,0,0,- ,- ,,,SANTA CLARA,MOUNTAIN VIEW,-122.08344319,37.385422850000000
4764442,2010,2011-04-12,4311,2010-04-19,1116,L1168,,1,5,5,4311,0,0,0,,0,3,WRIGHT AV,BEATRICE AV,5.00,E,N,A,-,N,,,,,,,,,,N,2,0,1,2,A,-,10,21950,A,N,G,B,B,A,H,-,A,A,0,Y,Y,,,Y,,L,4,1,0,0,0,1,0,0,0,0,- ,- ,,,SANTA CLARA,MOUNTAIN VIEW,-122.08847676000000,37.401270580000000
4788285,2010,2011-06-06,4311,2010-06-11,715,H2079,,5,5,5,4311,0,0,0,,0,2,RENGSTORFF AV,UNIVERSITY AV,6.00,W,N,A,-,N,,,,,,,,,,N,3,0,1,2,D,-,0,,,N,G,B,B,A,H,-,A,A,0,Y,,,,Y,,-,- ,0,1,0,0,1,0,0,0,0,- ,- ,,,SANTA CLARA,MOUNTAIN VIEW,-122.09938222,37.399980200000000
4817269,2010,2011-07-13,4311,2010-07-22,1650,M5918,,4,5,5,4311,0,0,0,,0,1,CALIFORNIA ST,HOPE ST,0.00,,Y,A,-,N,,,,,,,,,,N,3,0,2,2,A,-,10,21950,A,N,G,B,B,A,H,-,A,A,0,Y,Y,,,Y,,L,4,0,2,0,0,1,0,1,0,0,- ,- ,,,SANTA CLARA,MOUNTAIN VIEW,-122.07943307000000,37.390834980000000
4821535,2010,2011-10-03,4311,2010-07-16,1131,H2079,,5,5,5,4311,0,0,0,,0,2,EL CAMINO REAL,EL MONTE AV,0.00,,Y,A,-,Y,SCL,4,82,-,-,20.670,I,6,N,N,4,0,1,2,A,-,12,21453,A,N,G,B,B,A,H,-,A,A,0,Y,,,,Y,,A,1,0,0,1,0,1,0,0,0,0,- ,- ,,,SANTA CLARA,MOUNTAIN VIEW,-122.09518442,37.392000000000000
