CASE_ID,PARTY_NUMBER,VICTIM_NUMBER,VICTIM_ROLE,VICTIM_SEX,VICTIM_AGE,VICTIM_DEGREE_OF_INJURY,VICTIM_SEATING_POSITION,VICTIM_SAFETY_EQUIP_1,VICTIM_SAFETY_EQUIP_2,VICTIM_EJECTED,COUNTY,CITY,ACCIDENT_YEAR
4586880,2,1,3,M,23,3,9,-,-,3,"SANTA CLARA","MOUNTAIN VIEW",2010
4599372,2,1,5,F,85,4,0,N,A,0,"SANTA CLARA","MOUNTAIN VIEW",2010
4602038,2,1,3,M,30,2,9,N,P,3,"SANTA CLARA","MOUNTAIN VIEW",2010
4602077,2,1,3,M,70,3,9,N,-,3,"SANTA CLARA","MOUNTAIN VIEW",2010
4634466,2,1,3,M,9,3,9,P,-,0,"SANTA CLARA","MOUNTAIN VIEW",2010
4679348,2,1,3,F,30,4,0,P,-,0,"SANTA CLARA","MOUNTAIN VIEW",2010
4691505,1,1,3,F,33,4,9,-,-,3,"SANTA CLARA","MOUNTAIN VIEW",2010
4698747,2,1,3,M,57,2,0,P,-,0,"SANTA CLARA","MOUNTAIN VIEW",2010
4764442,2,1,3,F,86,2,9,P,-,0,"SANTA CLARA","MOUNTAIN VIEW",2010
4788285,1,1,2,F,1,0,4,P,Q,0,"SANTA CLARA","MOUNTAIN VIEW",2010
4788285,1,2,2,F,3,0,6,P,Q,0,"SANTA CLARA","MOUNTAIN VIEW",2010
4788285,2,1,3,M,12,3,9,P,V,3,"SANTA CLARA","MOUNTAIN VIEW",2010
4817269,1,1,4,M,23,3,1,P,V,1,"SANTA CLARA","MOUNTAIN VIEW",2010
4817269,2,1,3,F,35,3,9,P,-,0,"SANTA CLARA","MOUNTAIN VIEW",2010
4821535,2,1,3,M,65,4,9,P,-,3,"SANTA CLARA","MOUNTAIN VIEW",2010
4849642,1,1,3,F,42,4,0,P,-,0,"SANTA CLARA","MOUNTAIN VIEW",2010
4852200,2,1,3,F,50,4,0,P,-,0,"SANTA CLARA","MOUNTAIN VIEW",2010
4884223,1,1,3,M,80,1,0,P,-,3,"SANTA CLARA","MOUNTAIN VIEW",2010
4902574,2,1,3,M,52,4,0,P,-,0,"SANTA CLARA","MOUNTAIN VIEW",2010
4911944,1,1,3,M,24,3,9,N,P,0,"SANTA CLARA","MOUNTAIN VIEW",2010
4915862,1,1,3,M,6,4,9,P,-,3,"SANTA CLARA","MOUNTAIN VIEW",2010
4915862,2,1,2,M,16,0,3,M,G,0,"SANTA CLARA","MOUNTAIN VIEW",2010
4926177,2,1,3,M,40,1,0,N,-,0,"SANTA CLARA","MOUNTAIN VIEW",2010
4940051,2,1,3,F,83,4,0,N,-,0,"SANTA CLARA","MOUNTAIN VIEW",2010
4941184,2,1,3,M,30,4,0,N,-,0,"SANTA CLARA","MOUNTAIN VIEW",2010
4941184,3,1,3,F,3,4,0,N,-,0,"SANTA CLARA","MOUNTAIN VIEW",2010
4985667,2,1,3,F,40,3,0,P,N,0,"SANTA CLARA","MOUNTAIN VIEW",2010
5033314,2,1,3,M,28,4,9,-,-,3,"SANTA CLARA","MOUNTAIN VIEW",2010
5053116,2,1,3,M,68,3,9,N,-,0,"SANTA CLARA","MOUNTAIN VIEW",2010
5057744,2,1,3,F,46,3,0,N,-,0,"SANTA CLARA","MOUNTAIN VIEW",2011
5079975,2,1,3,F,67,3,0,N,-,0,"SANTA CLARA","MOUNTAIN VIEW",2011
5110847,2,1,3,F,45,2,0,N,-,0,"SANTA CLARA","MOUNTAIN VIEW",2011
5195165,2,1,3,F,56,4,9,M,P,0,"SANTA CLARA","MOUNTAIN VIEW",2011
5246886,2,1,3,-,998,3,9,-,-,3,"SANTA CLARA","MOUNTAIN VIEW",2011
5267149,2,1,3,M,55,3,0,P,-,0,"SANTA CLARA","MOUNTAIN VIEW",2011
5271457,2,1,3,M,69,4,0,N,P,0,"SANTA CLARA","MOUNTAIN VIEW",2011
5288614,1,1,2,F,89,0,3,M,G,0,"SANTA CLARA","MOUNTAIN VIEW",2011
5288614,4,1,3,M,32,4,0,N,-,0,"SANTA CLARA","MOUNTAIN VIEW",2011
5288614,5,1,3,F,40,3,9,-,-,3,"SANTA CLARA","MOUNTAIN VIEW",2011
5288614,6,1,3,F,37,4,9,-,-,3,"SANTA CLARA","MOUNTAIN VIEW",2011
5303753,1,1,3,M,12,4,9,-,-,3,"SANTA CLARA","MOUNTAIN VIEW",2011
5342597,2,1,3,F,41,3,0,N,-,0,"SANTA CLARA","MOUNTAIN VIEW",2011
5372486,1,1,3,M,15,4,0,N,-,0,"SANTA CLARA","MOUNTAIN VIEW",2011
5372506,2,1,3,M,77,3,0,N,M,0,"SANTA CLARA","MOUNTAIN VIEW",2011
5372506,3,1,3,F,75,4,0,N,-,0,"SANTA CLARA","MOUNTAIN VIEW",2011
5387341,2,1,4,M,16,3,1,P,V,1,"SANTA CLARA","MOUNTAIN VIEW",2011
5387341,3,1,3,M,14,4,0,P,W,0,"SANTA CLARA","MOUNTAIN VIEW",2011
5420157,1,1,3,M,91,1,0,N,M,0,"SANTA CLARA","MOUNTAIN VIEW",2011
5445931,2,1,3,M,33,2,0,N,-,0,"SANTA CLARA","MOUNTAIN VIEW",2011
5459117,1,1,3,F,42,3,0,N,-,0,"SANTA CLARA","MOUNTAIN VIEW",2012
5462330,2,1,3,M,25,4,0,P,-,0,"SANTA CLARA","MOUNTAIN VIEW",2011
5462338,2,1,3,M,66,3,0,P,-,0,"SANTA CLARA","MOUNTAIN VIEW",2011
